id,match_id,minute,second,period,event_type,outcome,team_name,player_name,x,y,is_shot,is_goal,qualifier_text,body_part,shot_zone,shot_distance,shot_angle,is_big_chance,is_header,is_right_foot,is_left_foot,is_penalty,is_volley,first_touch,from_corner,is_counter
287477,216,55,15.0,SecondHalf,SavedShot,Successful,Tottenham,Pedro Porro,85.9,72.4,1,0,goalmouthy 48.5 lowcentre blockedy 64.3 boxleft blockedx 90.7 assisted goalmouthz 19 blocked rightfoot oppositerelatedevent 490 individualplay relatedeventid 587 zone center setpiece,Right foot,Box,26.468282906150147,1.0089931777998136,0,0,1,0,0,0,0,0,0
287527,216,58,23.0,SecondHalf,MissedShots,Successful,West Ham,Pablo,86.9,41.1,1,0,firsttouch regularplay goalmouthz 77.8 boxcentre misshigh zone center goalmouthy 45.7 volley rightfoot individualplay,Right foot,Box,15.837297749300536,0.5967589471729453,0,0,1,0,0,1,1,0,0
287568,216,60,39.0,SecondHalf,SavedShot,Successful,West Ham,Crysencio Summerville,87.4,63.1,1,0,goalmouthy 46.4 boxleft assisted regularplay rightfoot lowright goalmouthz 19.4 oppositerelatedevent 644 relatedeventid 532 intentionalassist zone center blockedx 88.6 blocked blockedy 61.7,Right foot,Box,18.176083186429356,0.8048509622241096,0,0,1,0,0,0,0,0,0
287576,216,61,1.0,SecondHalf,SavedShot,Successful,Tottenham,Yves Bissouma,81.1,50.3,1,0,blockedx 97.8 firsttouch goalmouthy 48.1 oppositerelatedevent 534 relatedeventid 650 blockedy 48.6 intentionalassist rightfoot assisted goalmouthz 26.6 regularplay highright outofboxcentre zone center,Right foot,Box,18.90238080242804,0.015871682991789895,0,0,1,0,0,0,1,0,0
287619,216,63,11.0,SecondHalf,Goal,Successful,Tottenham,Cristian Romero,93.1,53.2,1,1,intentionalassist regularplay goalmouthy 52.6 relatedeventid 678 goalmouthz 20.9 assisted highleft firsttouch head boxcentre zone center bigchance,Head,Box,7.605918747922574,0.43424432079680103,1,1,0,0,0,0,1,0,0
287655,216,66,18.0,SecondHalf,MissedShots,Successful,Tottenham,Yves Bissouma,87.5,49.7,1,0,goalmouthy 51.6 misshigh goalmouthz 94.4 volley zone center boxcentre firsttouch rightfoot setpiece,Right foot,Box,12.503599481749246,0.023995393591869654,0,0,1,0,0,1,1,0,0
287668,216,67,9.0,SecondHalf,MissedShots,Successful,West Ham,Valentín Castellanos,88.6,47.4,1,0,relatedeventid 576 boxcentre goalmouthy 41.2 goalmouthz 8.3 zone center individualplay firsttouch regularplay assisted intentionalassist volley rightfoot,Right foot,Box,11.69273278579478,0.22423475110909616,0,0,1,0,0,1,1,0,0
287726,216,70,19.0,SecondHalf,SavedShot,Successful,Tottenham,Xavi Simons,86.7,76.0,1,0,boxleft goalmouthy 49.9 goalmouthz 19 oppositerelatedevent 598 regularplay assisted lowcentre blockedx 92.4 intentionalassist zone center rightfoot blocked relatedeventid 738 blockedy 64.8,Right foot,Box,29.204280508172083,1.097960614950933,0,0,1,0,0,0,0,0,0
287734,216,70,39.0,SecondHalf,MissedShots,Successful,Tottenham,Wilson Odobert,74.1,54.8,1,0,rightfoot relatedeventid 744 outofboxcentre intentionalassist zone center assisted goalmouthy 26.4 goalmouthz 48.6 highright individualplay fromcorner,Right foot,Box,26.3410326297205,0.1832490724807376,0,0,1,0,0,0,0,1,0
287747,216,72,16.0,SecondHalf,MissedShots,Successful,Tottenham,Cristian Romero,88.4,61.5,1,0,relatedeventid 751 firsttouch goalmouthy 51.6 assisted setpiece zone center intentionalassist goalmouthz 63.9 boxcentre head misshigh,Head,Box,16.334319698108025,0.781069186110389,0,1,0,0,0,0,1,0,0
287882,216,81,40.0,SecondHalf,MissedShots,Successful,West Ham,Valentín Castellanos,88.1,59.7,1,0,missright goalmouthz 20.8 zone center blockedy 48.2 blockedx 95.8 assisted boxcentre head goalmouthy 40.7 regularplay relatedeventid 689 intentionalassist firsttouch,Head,Box,15.35252422242024,0.683896332391495,0,1,0,0,0,0,1,0,0
287911,216,82,47.0,SecondHalf,SavedShot,Successful,Tottenham,Conor Gallagher,87.4,29.6,1,0,blocked rightfoot goalmouthz 19 relatedeventid 830 goalmouthy 51.9 regularplay blockedy 33.4 intentionalassist lowleft blockedx 89.5 oppositerelatedevent 697 zone center assisted boxright,Right foot,Box,23.9774894432257,1.0175020014726042,0,0,1,0,0,0,0,0,0
287961,216,86,57.0,SecondHalf,SavedShot,Successful,Tottenham,Xavi Simons,91.7,54.6,1,0,firsttouch blockedy 53.8 intentionalassist blocked boxcentre oppositerelatedevent 749 assisted throwinsetpiece goalmouthy 49.1 relatedeventid 864 zone center blockedx 92.9 lowcentre head goalmouthz 19,Head,Box,9.489467845985883,0.5060749632963415,0,1,0,0,0,0,1,0,0
287978,216,88,1.0,SecondHalf,SavedShot,Successful,Tottenham,Xavi Simons,80.9,49.9,1,0,oppositerelatedevent 721 rightfoot lowleft goalmouthz 10.8 assisted goalmouthy 53.2 relatedeventid 875 fromcorner blockedx 98.1 intentionalassist blockedy 50 zone center outofboxcentre,Right foot,Box,19.10026177831078,0.005235554256407645,0,0,1,0,0,0,0,1,0
288021,216,91,41.0,SecondHalf,SavedShot,Successful,West Ham,Callum Wilson,88.6,45.6,1,0,blockedy 46.9 blocked blockedx 93.7 assisted oppositerelatedevent 903 zone center regularplay lowcentre relatedeventid 741 bigchance goalmouthz 19 goalmouthy 48.6 rightfoot boxcentre intentionalassist,Right foot,Box,12.219656296312106,0.36834892140896275,1,0,1,0,0,0,0,0,0
288028,216,92,20.0,SecondHalf,Goal,Successful,West Ham,Callum Wilson,98.8,51.1,1,1,goalmouthy 51.9 highleft smallboxcentre zone center fromcorner goalmouthz 27.2 bigchance leftfoot,Left foot,SmallBox,1.6278820596099737,0.7419472680059169,1,0,0,1,0,0,0,1,0
288059,216,96,25.0,SecondHalf,MissedShots,Successful,Tottenham,Cristian Romero,90.5,53.2,1,0,zone center missleft firsttouch assisted boxcentre intentionalassist head fromcorner relatedeventid 921 goalmouthy 71.6 goalmouthz 15.3,Head,Box,10.024470060806209,0.3249051180651193,0,1,0,0,0,0,1,1,0
277557,217,7,4.0,FirstHalf,SavedShot,Successful,Arsenal,Gabriel Martinelli,94.5,53.8,1,0,assisted lowcentre goalmouthy 50.8 goalmouthz 19 blockedy 53.6 head intentionalassist relatedeventid 63 blockedx 94.8 regularplay zone center oppositerelatedevent 106 sixyardblock smallboxcentre firsttouch blocked,Head,SmallBox,6.685057965343305,0.6045985900934765,0,1,0,0,0,0,1,0,0
277627,217,11,11.0,FirstHalf,SavedShot,Successful,Nottingham Forest,Nicolás Domínguez,89.9,51.7,1,0,boxcentre intentionalassist leftfoot zone center assisted lowcentre regularplay blocked blockedy 51.6 relatedeventid 93 blockedx 91.0 goalmouthy 51.0 oppositerelatedevent 96 goalmouthz 19 firsttouch,Left foot,Box,10.24207010325549,0.16675381247270157,0,0,0,1,0,0,1,0,0
277683,217,16,22.0,FirstHalf,SavedShot,Successful,Arsenal,Gabriel Martinelli,96.2,39.8,1,0,goalmouthz 19 goalmouthy 49.6 zone center lowcentre smallboxright blockedx 96.9 blocked blockedy 41.7 oppositerelatedevent 118 sixyardblock leftfoot fromcorner,Left foot,SmallBox,10.884851859350224,1.214176190843465,0,0,0,1,0,0,0,1,0
277709,217,18,22.0,FirstHalf,SavedShot,Successful,Arsenal,Gabriel Martinelli,96.2,44.6,1,0,oppositerelatedevent 128 smallboxright blockedx 97.1 blockedy 45.7 intentionalassist sixyardblock relatedeventid 154 goalmouthy 49.3 goalmouthz 19 firsttouch assisted lowcentre blocked zone center head fromcorner,Head,SmallBox,6.6030296076876684,0.9575889779203876,0,1,0,0,0,0,1,1,0
277727,217,20,0.0,FirstHalf,SavedShot,Successful,Arsenal,Noni Madueke,89.1,29.2,1,0,leftfoot goalmouthz 19 blockedx 90.1 blockedy 31.0 individualplay assisted relatedeventid 163 lowcentre blocked oppositerelatedevent 138 goalmouthy 50.2 fastbreak zone center boxright,Left foot,Box,23.482972554597943,1.0881034018120739,0,0,0,1,0,0,0,0,1
